คำ,POS,ความหมาย
พก ๑,น.,สิ่งที่มีลักษระคล้ายถุงเล็ก ๆ เกิดจากรวบริมผ้านุ่งขึ้นมาเหน็บไว้ข้างหน้า เพื่อใช้บรรจุสิ่งของ
พก ๒,น.,"นกยาง (ป., ส.)"
พก ๓,ก.,เอาสิ่งของเก็บหรือซ่อนไว้ในพกหรือในสิ่งอื่นที่มีลักษณะคล้ายคลึงกัน
พกขี้,น.,"กระเพาะอาหาร, ส่วนมากเรียก โพ่น"
พกพ่าม,ว.,อาการลุกลี้ลุกลน
พกเยี่ยว,น.,กระเพาะปัสสาวะ
พง,น.,ดงหญ้าหรือดงไม้ที่เป็นหมู่ ๆ
พงไพร,น.,"ป่าไม้, ดงไม้"
พงศ์,น.,"เชื้อสาย, เหล่ากอ, สกุล (ส.,ป.)"
พงศ์เชื้อ,น.,พวกพ้องหรือญาติพี่น้องที่สืบมาจากบรรพบุรุษเดียวกัน
พงศา,น.,"เชื้อสาย, เหล่ากอ, สกุล (ส.,ป.)"
พงศาวดาร,น.,เรื่องราวของเหตุการณ์ เกี่ยวกับวงศ์สกุล
พจน์,น.,"คำพูด, ถ้อยคำ (ป.)"
พจนา,น.,"การเปล่งวาจา, คำพูด"
พจนานุกรม,น.,หนังสือที่แสดงความหมายของคำ เรียงตามลำดับตัวอักษร
พจนารถ,น.,เนื้อความของคำพูด (ส.)
พญา (โบ),น.,ผู้เป็นใหญ่
พญาครุฑ,น.,ครุฑผู้เป็นใหญ่
พญาแถน,น.,เทวดาอยู่บนฟากฟ้า
พญานาค,น.,"นาคผู้เป็นใหญ่, งูใหญ่"
พเญีย,น.,นางพญา
พธู,น.,"เจ้าสาว, หญิงที่เพิ่งแต่งงาน, หญิงสาว (ส.,ป.)"
พน,น.,"ป่า, พง, ดง, แนวป่า, ราวป่า (ป.,ส.)"
พ่น,ก.,"ใช้กำลังทำให้ของในปากหลุดออกเป็นฝอย, ส่วนมากออกเสียง โพ่น"
พ้น,ก.,"เลย, เกิน, ผ่าน, พ้น, หลุด"
พนม,น.,ภูเขา (ข.)
พนวาสี,น.,"ผู้อยู่ป่า, ฤาษี (ส.)"
พนอง,น.,ภูเขา
พนอม,น.,ภูเขา
พนักงาน,น.,เจ้าหน้าที่
พนัน,ก.,"เล่นเอาเงินหรือสิ่งของด้วยการ เสี่ยงโชคหรือฝีมือ, ส่วนมากว่า พัน"
พนัส,น.,ป่า (ส.)
พนา,น.,"ป่า, ดง"
พนา,น.,"ป่า, พง, ดง, แนวป่า, ราวป่า (ป.,ส.)"
พนาลัย,น.,"การอยู่ป่า, ที่อยู่ในป่า (ส.)"
พนาลี,น.,แนวป่า (ส.)
พนาวาส,น.,ที่อยู่ในป่า (ป.)
พนาเวศ,น.,ป่า
พบ,ก.,เห็น
พบพาน,ก.,"ปะกัน, กัน"
พยศ,ก.,แสดงอาการดื้อรั้นหรือถือตัวไม่ยอมทำตาม
พยอม,น.,ต้นไม้ขนาดใหญ่ชนิดหนึ่ง ดอกสีขาวเป็นพวงมีกลิ่นหอม เนื้อไม้ใช้ในการก่อสร้าง
พยัก,ก.,"แสดงการรับรู้โดยอาการไหวหน้าขึ้นหรือลงเล็กน้อยโดยเร็ว, ส่วนมากว่า งึกหัว"
พยัคฆ์,น.,"เสือโคร่ง (ป., ส.)"
พยัคฆี,น.,เสือโคร่งตัวเมีย
พยัญชนะ ๑,น.,ตัวหนังสือตั้งแต่ ก-ฮ
พยัญชนะ ๒,น.,กับข้าวที่ไม่ใช่แกง ดู เพียญชนะ
พยากรณ์ ๑,ก.,"ทำนาย, คาดการณ์ (ป.,ส.)"
พยากรณ์ ๒,น.,การทำนาย
พยางค์,น.,ส่วนหนึ่งของคำพูด (ส.)
พยาธิ,น.,"ความเจ็บไข้, เชื้อโรคที่เกิดในร่างกาย, เชื้อโรคอย่างหนึ่งที่เกิดที่ผิวหนัง (ป.)"
พยาน,น.,"หลักฐาน, ผู้รู้เห็นเหตุการณ์, ส่วนมากว่า พิยาน"
พยาบาท,ก.,"ผูกใจเจ็บ และอยากแก้แค้น, ปองร้าย (ป.,ส.)"
พยาบาล,ก.,"ดูแลคนไข้, ปรนนิบัติคนไข้, ส่วนมากว่า ปัว หรือบัวรบัติ (ป.)"
พยายาม,ก.,ทำโดยมานะบากบั่น
พยุ,น.,ลมแรง
พยุห,น.,"กระบวน, หมู่, กองทัพ"
พยูง,น.,ไม้ต้น เนื้อไม้สีแดงคล้ำ ใช้ทำเครื่องเรือน = ขยุง
พเยีย,น.,พวงดอกไม้ (ข.)
พร,น.,"คำที่แสดงความปรารถนาดี, สิ่งของที่เลือกเอาตามประสงค์ (ป.)"
พรต,น.,"กิจวัตร, การปฏิบัติ, เขตแห่งความประพฤติ, ธรรมเนียม ประเพณี, การสมาทาน (ส., ป.)"
พรม ๑,น.,เครื่องลาดทำด้วยขนสัตว์
พรม ๒,ก.,เอาน้ำประโปรยให้กระจายเป็นเม็ดเล็ก ๆ
พรม ๓,ก.,เป่า (ข.)
พรมแดน,น.,"ขีดขั้นเขตแดน, แดนต่อแดน (ข.)"
พรรค์,น.,"หมู่คนที่เข้ารวมกันเป็นพวกเป็นฝ่าย เช่น พรรคการเมือง, พรรคพวก (ส., ป.)"
พรรค,น.,"หมู่คนที่เข้ารวมกันเป็นพวกเป็นฝ่าย เช่น พรรคการเมือง, พรรคพวก (ส., ป.)"
พรรณ,น.,"สีผิว, ชนิด, คุณธรรมที่ควรสรรเสริญ (ส., ป.)"
พรรณา,ก.,กล่าวถ้อยคำให้ผู้ฟังนึกเห็นเป็นภาพ (ออกเสียงพัน-ระ-นา)
พรรษ,น.,"ปี, ฝน (ส.,ป.)"
พรรษา,น.,"ปี, ฤดูฝน"
พรรษากาล,น.,ฤดูฝน
พรวด,ก.,อาการที่เป็นไปอย่างรวดเร็วโดยไม่ยับยั้ง
พรหม,น.,"พระเป็นเจ้าผู้สร้างโลกตามศาสนาพราหมณ์, เทพในพรหมโลก จำพวกมีรูป เรียกรูปพรม มี ๑๖ ชั้น จำพวกไม่มีรูปเรียก อรูปพรหม มี ๔ ชั้น ตามมติพระพุทธศาสนา"
พรหมกาย,น.,"พระกาย (คือรูปกาย นามกาย) ประเสริฐ, เป็นพระนามของพระพุทธเจ้า"
พรหมจรรย์,น.,"การศึกษาปรมัตถ์, การศึกษาพระเวท, การถือพรตหรือการบวชซึ่งเว้นเมถุน เป็นต้น"
พรหมจรรย์,น.,"ฐานะของผู้ยังไม่ได้แต่งงาน (ส.,ป.)"
พรหมจาริณี,น.,หญิงที่ยังบริสุทธิ์ (ป.)
พรหมจารี,น.,"ผู้ศึกษาปรมัตถ์ และพระเวท, ผู้ถือพรตบางอย่าง เช่น เว้นเมถุน เป็นต้น"
พรหมจารี,น.,หญิงที่ยังบริสุทธิ์ (ป.)
พรหมชายา,น.,มเหสีของพระพรหม (ป.)
พรหมทัณฑ์,น.,"การสาปแห่งพราหมณ์, ลหุโทษ คือ ห้ามไม่ให้ใครพูดด้วยในหมู่สงฆ์ด้วยกัน (ป.)"
พรหมบุตร,น.,"พราหมณ์, ลูกพราหมณ์ (ส., ป.)"
พรหมลิขิต,น.,อำนาจที่กำหนดความเป็นไปของชีวิตถือกันว่าพรหมเขียนไว้ที่หน้าผากของเด็กซึ่งเกิดได้ ๖ วัน
พรหมวิหาร,น.,ธรรมของพรหมหรือของท่านผู้เป็นใหญ่ ได้แก่ เมตตา กรุณา มุทิตา อุเบกขา (ป.)
พรหมัญตา,น.,ความเป็นผู้เกื้อกูลแก่พราหมณ์
พรหมา,น.,"พระเป็นเจ้าผู้สร้างโลกตามศาสนาพราหมณ์, เทพในพรหมโลก จำพวกมีรูป เรียกรูปพรม มี ๑๖ ชั้น จำพวกไม่มีรูปเรียก อรูปพรหม มี ๔ ชั้น ตามมติพระพุทธศาสนา"
พร่อง,ว.,"ขาดไป, ลดลงไป"
พร้อง,ก.,"พูด, กล่าว, ร้อง พร้องเพรียก = ร้องเรียก"
พร้อม,ว.,"ร่วมกัน, ในเวลาเดียวกัน, โดยปริยาย หมายความว่าครบครัน, เสร็จ"
พร้อมบาด,ว.,ทันทีทันใด
พร้อมพรั่ง,ว.,รวมอยู่มากมาย
พร้อมพาน,ว.,พร้อมสรรพ
พร้อมเพรียง,ว.,"ครบถ้วน, ร่วมใจกัน, เป็นอันหนึ่งอันเดียวกัน"
พร้อมเพรียงเรียงหน้า,ว.,"ครบถ้วน, ร่วมใจกัน, เป็นอันหนึ่งอันเดียวกัน"
พระ,น.,"ผู้ถือบวช, ผู้เป็นใหญ่"
พระเจ้า,น.,"พระพุทธดจ้า, เทพเจ้า, พระพุทธรูป"
พระนาง,น.,พระมเหสี
พระประธาน,น.,พระพุทธรูปองค์ใหญ่ที่ประดิษฐานอยู่ในพระอุโบสถหรือวิหาร
พระเป็นเจ้า,น.,เทวดาผู้เป็นใหญ่
พระพุทธเจ้า,น.,ผู้เป็นใหญ่ในโลกทั้งสาม
พระมหาเทวี,น.,พระอุมา ชายาพระอิศวร
พระอิศวร,น.,ชื่อพระเจ้าสำคัญองค์หนึ่งในพระเจ้าทั้ง ๓ ของฮินดู
พรั่ง,ว.,"คับคั่ง, รวมกันอยู่มาก"
พร้า,น.,มีดขนาดใหญ่
พราก,ก.,"จากไป, แยกออกจากกัน"
พราง,ก.,"ลวง, ทำให้เข้าใจเป็นอื่น, ทำให้เลือน"
พร้าโต้,น.,มีดใหญ่ ปลายงุ้ม สันหนา ด้ามสั้น
พราน,น.,ผู้หากินในทางจับสัตว์หรือยิงสัตว์
พราย,น.,ภูตหรือผีจำพวกหนึ่ง
พรายน้ำ,น.,ฟองน้ำเล็ก ๆ ที่ผุดกระจายขึ้นจากน้ำ
พรายป่า,น.,ผีป่า
พรายย้ำ,น.,รอยดำช้ำคล้ายถูกอะไรกัดปรากฏตามร่างกาย แต่ไม่มีอาการเจ็บปวด โบราณถือว่า ถูกผีพรายกัด แต่ไม่มีบาดแผล
พราว,ว.,"วาวแวว, สวยงาม"
พราหมณ์,น.,"คนในวรรณะที่ ๑ แห่งสังคมฮินดู ซึ่งมี ๔ วรรณะ ได้แก่ พราหมณ์ กษัตริย์ แพศย์ และศูทร, ผู้สืบเชื้อสายมาจากพรหม, ผู้มีทิพพเวท (ป., ส.)"
พราหมณ์มหาศาล,น.,"พราหมณ์ผู้เป็นเจ้าของบ้านใหญ่, พราหมณ์ผู้มั่งคั่ง (ส.)"
พราหมณ์มาณพ,น.,"พราหมณ์หนุ่ม (ป., ส.)"
พราหมณี,น.,พราหมณ์ผู้หญิง
พร้าหวด,น.,มีดรูปเพรียวยาว ด้ามงอ ๆ สำหรับหวดหญ้า
พร่ำ,ว.,"ร่ำไป, ซ้ำ ๆ ซาก ๆ , บ่อย"
พริก,น.,"ไม้ล้มลุก ผลมีรสเผ็ด มีหลายชนิด เช่น พริกก้นชันหรือพริกชี้ฟ้า, พริกขี้หนู, พริกใหญ่ พริกหยวก"
พริกไทย,น.,ไม้เถา ผลมีรสเผ็ดร้อน ใช้ปรุงอาหารและทำยา
พริบ,ก.,"ขยิบ (ใช้กับดาว), กระพริบ"
พริบตา,ก.,"ขยิบ (ใช้กับดาว), กระพริบ"
พรึบ,ว.,"กิริยาที่ทำพร้อม ๆ กันในทันทีทันใด, เร็ว, พร้อม"
พรุก,น.,"วันพรุ่งนี้, รุ่งขึ้น"
พรู,ว.,อาการเคลื่อนไหวมาพร้อม ๆ กันเป็นจำนวนมาก ๆ พร้อมกันมาก ๆ
พฤกษ์,น.,"ต้นไม้, พฤกษา"
พฤกษชาติ,น.,ต้นไม้
พฤกษเทพ,น.,เทวดาที่สิงอยู่ที่ต้นไม้ (ส.)
พฤกษรา,น.,"ต้นไม้, พฤกษา"
พฤติ,น.,"ความประพฤติ, ความเป็นไป, กิจการ, ลักษณะความเป็นอยู่, คำอธิบาย สูตรในไวยากรณ์บาลี (ป., ส.)"
พฤติกรรม,น.,การกระทำ (ส.)
พฤติการณ์,น.,เหตุการณ์ที่เปลี่ยนไป (ส.)
พฤตินัย,น.,ข้อเท็จจริง (ส.)
พฤนท์,น.,"กอง, หมู่, จำพวกมาก, ช่อ, พวง (ส.)"
พฤศจิก,น.,"แมงป่อง, ราศีรูปดาวแมงป่อง (ป., ส.)"
พฤศจิกายน,น.,"เดือนที่ ๑๑ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนมกราคม , เดือนที่ ๘ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนเมษายน (ปัจจุบันเลิกใช้)"
พฤษภา,น.,"โค, ราศีดาวรูปโค (ป.ส,)"
พฤษภาคม,น.,"เดือนที่ ๕ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนมกราคม , เดือนที่ ๒ ตามสุริยคติ ซึ่งเริ่มด้วยเดือนเมษายน (ปัจจุบันเลิกใช้)"
พฤหัส,น.,เทพที่เป็นครูของเทวดาทั้งหลาย
พฤหัส,น.,ดาวเคราะห์ดวงที่ ๕ เป็นดาวที่ใหญ่ที่สุดในระบบสุริยะ
พฤหัส,น.,วันที่ ๕ ของสัปดาห์ส่วนมากว่า พหัส (ส.)
พล,น.,"กำลัง, แรง, กองทัพ (ป., ส.)"
พลกร,น.,"กองทัพ, กองทหารเป็นจำนวนมาก"
พลกาย,น.,"กองทัพ (ป., ส.)"
พลการ,น.,"อำเภอใจ, การทำด้วยกำลัง, การข่มเหง, การรังแก"
พลบ,น.,"เวลาย่ำค่ำ, เวลาโพล้เพล้"
พลไพร่,น.,พวกไพร่
พลเมือง,น.,ประชาชน ราษฎร
พลเรือน,น.,ผู้ที่ไม่ใช่ทหาร
พลวง,น.,ชื่อแร่ธาตุมีลักษณะแข็ง สีขาวคล้ายโลหะเงินเปราะมีสมบัติพิเศษ คือ ขยายตัวเมื่อแข็งตัว ใช้ประโยชน์นำไปผสมกับโลหะอื่นให้เป็นโลหะเจือ
พลอง,น.,ไม้ใช้เป็นอาวุธยาวประมาณ ๔ ศอก เรียก ไม้พลอง
พล่อย,ว.,อาการที่พูดง่าย ๆ โดยไม่ตริตรอง
พลอย ๑,น.,หินที่มีเนื้อใสสีต่าง ๆ ใช้ทำเป็นเครื่องประดับ
พลอย ๒,ก.,"พลัดพราก, จากไป, คนที่พ่อแม่ตายจาก เรียก กำพลอย คู่กับ กำพร้า"
พลอย ๓,ว.,"ร่วมด้วย, ประสบด้วย, ตามไปด้วย"
พละ,น.,กำลัง
พลัง,น.,กำลัง มักใช้พูดเข้าคู่ว่า กำลังพลัง
พลั้ง,ก.,พลาดโดยไม่ตั้งใจ หรือไม่ทันคิด
พลั้งปาก,ก.,พูดไปโดยไม่ทันคิด
พลั้งเผลอ,ก.,เผอเรอจนผิดพลาดไป
พลัด,ก.,"ตกจาก, หลุดจาก, หลงจาก"
พลัดถิ่น,ว.,อยู่ไกลจากถิ่นของตน
พลัดพราก,ก.,"จากไป, แยกออกจากกัน"
พลัน,ว.,"ทันที, รีบ, ด่วน"
พลับ,น.,ไม้ต้นคล้ายตะโก ผลกินได้
พลั่ว,น.,เครื่องมือสำหรับแทงดิน สาดดิน สาดข้าว เป็นรูปแบน ๆ มีด้ามสำหรับถือ
พลากร,น.,"กองทัพ, กองทหารเป็นจำนวนมาก"
พลาง,ว.,"ในระยะเวลาเดียว, พร้อมกันไป"
พลาด,ก.,"คลาด, ผิด, พลั้งไป"
พลาย,ว.,ตัวผู้ (ใช้กับช้าง) คู่กับ พัง (ช้างตัวเมีย)
พลาหก,น.,"เมฆ, ฝน (ป.,ส.)"
พลิก,ก.,"กลับ, เปลี่ยน"
พลิกแพลง,ก.,"กลับกลาย, เปลี่ยนแปลง, ดัดแปลง"
พลิกศพ,ก.,ชันสูตรศพ
พลิพัท,น.,โคผู้ (ป.)
พลี ๑,น.,"การบวงสรวง, เครื่องบวงสรวง, ส่วย, การบูชา (ตามแบบ มี ๕ คือ ญาติพลี สงเคราะห์ญาติ, อิตถีพลี ต้อนรับแขก, เปตพลี ทำบุญอุทิศให้ผู้ตาย, ราชพลีถวายเป็นหลวง มีเสียภาษีอากร เป็นต้น, เทวดาพลีทำบุญอุทิศให้เทวดา, และแบ่งเป็น ๒ อย่าง คือ ธรรมพลีอุทิศกุศลให้ และอามีสพลี ให้สิ่งของ) (ป.,ส.)"
พลี ๒,ก.,บวงสรวงเชิญมารับ
พลี ๓,ว.,มีกำลัง
พลุ,น.,ดอกไม้เพลิงชนิดหนึ่ง บรรจุดินปืนในกระบอกไม้ไผ่เมื่อจุดมีเสียงระเบิดดังคล้ายเสียงปืน
พลุ่ง,ก.,"พล่าน, อาการที่น้ำเดือดควันพุ่งขึ้นไป"
พลู,น.,"ไม้เถาใบมีรสเผ็ดร้อนใช้กินกับหมากและทำยาได้ มีไม้ยืนต้น ๒ ชนิด ๑. พลูดี เป็นพลูใบใหญ่หนาและเป็นที่นิยม, ๒. พลูกะต่อย พลูใบเล็กบาง รสเผ็ดจัด ไม่ค่อยเป็นที่นิยม"
พลูขี้ไก่,น.,"ไม้เถาใบมีรสเผ็ดร้อนใช้กินกับหมากและทำยาได้ มีไม้ยืนต้น ๒ ชนิด ๑. พลูดี เป็นพลูใบใหญ่หนาและเป็นที่นิยม, ๒. พลูกะต่อย พลูใบเล็กบาง รสเผ็ดจัด ไม่ค่อยเป็นที่นิยม"
พลูคำ,น.,พลูเหลือง
พลูช้าง,น.,ไม้เถาชนิดหนึ่ง ใบคล้ายใบพลูเกาะตามต้นไม้อื่น ยิ่งสูงขึ้นใบยิ่งใหญ่
พลูโต,น.,ดาวเคราะห์ดวงที่ ๙ ในระบบสุริยะ มองไม่เห็นด้วยตาเปล่า
พลูหนัง,น.,พลูเขียว
พวก,น.,"หมู่, กอง"
พวกพ้อง,น.,"หมู่ญาติ, เพื่อนฝูง, มิตรสหาย"
พวง ๑,น.,"ช่อ, กลุ่ม, พวง"
พวง ๒,น.,หลังคาเกวียน รถ หรือเรือที่มีรูปค่อม ๆ = ประทุน
พวงที่,น.,ดอกไม้ชนิดหนึ่ง
พวงมาลัย,น.,ดอกไม้ที่ร้อยเป็นพวง ๆ
พวงมาลัย,น.,เครื่องมือสำหรับจับถือท้ายเรือยนต์หรือรถยนต์
พวงมาลา,น.,ดอกไม้ที่ผูกเป็นวงสำหรับสักการะศพ เป็นต้น
พวน,ก.,รู้สึกปั่นป่วนในลำไส้ชวนให้อาเจียน = คลื่นไส้
พวนท้อง,ก.,รู้สึกปั่นป่วนในลำไส้ชวนให้อาเจียน = คลื่นไส้
พวม,ว.,"กำลัง, จวนจะ, เช่น พวมไป = กำลังไป"
พวมสิ,ว.,"กำลัง, จวนจะ, เช่น พวมไป = กำลังไป"
พวยพุ่ง ๑,ก.,"สูง, พุ่งไปโดยเร็ว"
พวยพุ่ง ๒,ว.,ช่วงโชติ
พสก,น.,"ชาวเมือง, พลเมือง (ป.,ส.)"
พสุ,น.,"ทรัพย์, สมบัติ, ความมั่งมี, ความประเสริฐ (ป.,ส.)"
พสุธา,น.,"ผู้ทรงไว้ซึ่งทรัพย์ คือ แผ่นดิน (ป.,ส.)"
พสุธาดล,น.,"พื้นแผ่นดิน (ป.,ส.)"
พสุธาธร,น.,ผู้ทรงแผ่นดินไว้ คือ พระเจ้าแผ่นดิน (ส.)
พหล,ว.,"มาก, ใหญ่, หนา, ทึบ (ป.,ส.)"
พหัส,น.,เทพที่เป็นครูของเทวดาทั้งหลาย
พหุ,ว.,มาก
พหุพจน์,น.,คำที่กล่าวถึงสิ่งมากกว่าหนึ่ง
พหุล,ว.,"หนา, มาก (ป.,ส.)"
พหุสูต,น.,ผู้สดับรับฟังมาก ผู้ศึกษาเล่าเรียนมาก (ป.)
พหู,ว.,มาก
พหูกรณีย์,น.,ผู้มีธุระมาก (ส.)
พหูพจน์,น.,คำที่กล่าวถึงสิ่งมากกว่าหนึ่ง
พ่อ,น.,"ชายผู้ให้กำเนิดแก่ลูก, คำเรียกผู้ชาย"
พ้อ,ก.,"พบ, บรรจบ, ถึง, เช่น ขี้ไฮ้จวบผ้ากำพร้าจวบนม"
พ้อ,ก.,"ปะ, พบเห็น, เจอ, ประสบ"
พอ ๑,ว.,"เท่าที่ต้องการ, เหมาะ, เต็มตามต้องการ, ถูก, ชอบ"
พอ ๒,ว.,"เมื่อ, ครั้นเมื่อ, เพิ่ง"
พอก,น.,กะระบอกที่มีด้าม สำหรับตักของที่เป็นน้ำ
พอก ๑,น.,ต้นไม้ขนาดใหญ่ มีลูกคล้ายผลละมุด มีกลิ่นหอมรับประทานได้
พอก ๒,ก.,"หุ้ม, พูน, โปะให้หนา"
พอกคำพระ,น.,"ปิดทองพระ, ส่วนมากว่า ฟอกคำพระ"
พอกพ้น,ว.,"เกินไป, เกินขีด เช่น หลายผอกพัน"
พ่อครัว,น.,"ชายที่ทำครัว, (โบ) หัวหน้าครอบครัว"
พ่อค้า,น.,ชายผู้ค้าขาย
พ่อคีง,น.,พ่อตัว
พอง,น.,ส่วนที่นูนเป็นปุ่ม ๒ ข้างที่หัวช้าง
พอง,ว.,"บวมขึ้นมา, ฟูขึ้นมา, โป่งขึ้นมา, ตั้งขึ้น"
พ่อง,ว.,"บ้าง, บางสิ่ง, บางคน"
พ่อโซ้น,น.,พ่อของแม่ = ตา
พ่อเฒ่า,น.,พ่อของเมีย = พ่อตา
พอดีพอฮ้าย,ว.,"ปานกลาง, ไม่ดีนัก, ไม่เลวนัก = พอดีพอร้าย"
พ่อตา,น.,พ่อของแม่
พ่อตู้,น.,พ่อของแม่ = ตา
พอโต,ว.,"สมตน, เหมาะ, ควร, พอใช้ = พอตัว"
พอน ๑,น.,ปลาชนิดหนึ่ง คล้ายปลาตะเพียน แต่ตัวโตกว่า
พอน ๒,ว.,"ขาว, เผือก, เหลืองนวล"
พ่อนา,น.,คนทำนา
พ่อน้า,น.,สามีคนใหม่ของแม่ที่ไม่ใช่พ่อของตัว = พ่อเลี้ยง
พ่อบ้าน,น.,ชายที่เป็นหัวหน้าครอบครัว
พ้อม,น.,ภาชนะสานขนาดใหญ่สำหรับบรรจุข้าวเปลือก
พอมผ่อ,ว.,"ไกลสุดตา, มองเห็นลิบลับ"
พอมผ่อ,ว.,"เห็นลิบ ๆ, เห็นเล็กนิดเดียว"
พ่อเลี้ยง,น.,"ชายที่ขอลูกคนอื่นมาเลี้ยง = พ่อเลี้ยง, ชายผู้ปกครองหรือคุ้มครองตามประเพณีของพวกถือผี, ชายผู้รักษาพยาบาล หรือรับผู้อื่นเข้ามาอยู่ในความดูแลของตน"
พ้อว้อ,ว.,ลักษณะของสิ่งเล็กที่โผล่หรือยื่นออกมาเล้กน้อย สำหรับสิ่งใหญ่โตว่า โพ้โว้
พ่อสื่อ,น.,ผู้พูดชักนำให้หญิงหรือชายติดต่อรักกัน ถ้าเป็นหญิงว่า แม่สื่อ
พ่อเสี่ยว,น.,เพื่อนของพ่อ
พ่อหม้าย,น.,ชายที่ภรรยาตายจาก
พ่อใหญ่,น.,พ่อของแม่ = ตา
พ่อออก,น.,คำที่พระภิกษุสงฆ์เรียกคฤหัสถ์ผู้ชายที่เป็นโยมของตนหรือผู้ที่อายุมากกว่าตน
พ่อออกค้ำ,น.,ชายที่อุปการะพระภิกษุสามเณร = โยมอุปฐาก
พ่อฮัก,น.,ชายที่รักคนอื่นเสมือนบุตรของตนโดยใช้ด้ายผูกแขนทำขวัญ
พ่อฮ้าง,น.,ชายที่ภรรยาตายจาก
พอแฮง,ว.,"เต็มแรง, มาก"
พ่อไฮ่,น.,ชายทำไร่
พะงะ,ว.,"ลักษณะนั่งแบะขา หรือถ่างขาใช้แก่ของขนาดใหญ่ , ถ้าขนาดเล็กว่า ซะแงะ"
พะงะ,ว.,นั่งไม่เรียบร้อย
พะนะ,ว.,เช่นนั้นนะ
พะนา,ว.,เช่นนั้นนะ
พะเนียง ๑,น.,ด้านหน้าของหัวหมูสำหรับไถนา
พะเนียง ๒,น.,"ดอกไม้ไฟชนิดหนึ่ง ทำด้วยกระบอกไม้ไผ่บรรจุดินปืน ใช้ตั้งจุดไฟให้ลุกเป็นช่องาม เรียก ไฟพะเนียง, ส่วนมากเรียก บั้งไฟดอก"
พะเนียด,น.,กรงดักนกเขาโดยให้นกต่ออยู่ในกรง มีเครื่องดักเป็นตาข่ายอยู่นอก
พะเนียน,น.,หีบใส่เสื้อผ้าขนาดใหญ่
พะยอม,น.,ไม้ต้นขนาดใหญ่ ดอกสีขาวมีกลิ่นหอม เนื้อไม้ใช้ก่อสร้าง
พะวะ,ส.,แต่แล้ว
พะว้า,ว.,นั่งไม่เรียบร้อย
พะอวน,ส.,เป็นคำแทนบุคคลบุรุษที่หนึ่งและที่สอง
พัก ๑,น.,"ชั้น, หลั่น, มีหลายชั้นว่า มีหลายพัก, เป็นลดหลั่นว่าเป็นพัก ๆ"
พัก ๒,ก.,"หยุดชั่วคราว, อยู่ชั่วคราว,อาศัยชั่วคราว, รั้งรอ, ส่วนมากว่า เซา"
พักตร์,น.,หน้า (ส.)
พัง ๑,น.,ช้างตัวเมีย
พัง ๒,ก.,ทลาย
พังคี,น.,พรรณไม้พุ่มเล็ก ๆ ชนิดหนึ่ง ต้นสูงประมาณ ๑ คืบ ใบเป็นขน รากมีรสเฝื่อน
พังผืด,น.,เยื่อเหนียวที่ยึดกล้ามเนื้อให้ติดกัน
พังพอน,น.,สัตว์เลี้ยงลูกด้วยนม ขนหนาสีน้ำตาลหรือเทา หัวแหลมหางยาวเป็นพวง ชอบอยู่ในรู
พังเพย,น.,คำกลางที่กล่าวไว้ให้ตีความเข้ากับเรื่อง
พัฒนะ,น.,ความเจริญ
พัฒนา,ก.,ทำให้เจริญ
พัฒนากร,น.,"ผู้ทำความเจริญ, ผู้การพัฒนา"
พัฒนาการ,น.,"การทำความเจริญ, การคลี่คลายไปในทางที่ดี"
